Country Name,Country Code,POP 2012,POP 2013,POP2014,POP2015,POP2016
"Romania","ROU",20058035.000000,19983693.000000,19908979.000000,19815481.000000,19705301.000000
"Russian Federation","RUS",143201676.000000,143506911.000000,143819666.000000,144096870.000000,144342396.000000
"Rwanda","RWA",10788853.000000,11065151.000000,11345357.000000,11629553.000000,11917508.000000
"South Asia","SAS",1676614288.000000,1699306053.000000,1721840539.000000,1744190704.000000,1766383450.000000
"Saudi Arabia","SAU",29086357.000000,29944476.000000,30776722.000000,31557144.000000,32275687.000000
"Sudan","SDN",35990192.000000,36849918.000000,37737913.000000,38647803.000000,39578828.000000
"Senegal","SEN",13703513.000000,14120320.000000,14546111.000000,14976994.000000,15411614.000000
"Singapore","SGP",5312437.000000,5399162.000000,5469724.000000,5535002.000000,5607283.000000
"Solomon Islands","SLB",551531.000000,563513.000000,575504.000000,587482.000000,599419.000000
"Sierra Leone","SLE",6766103.000000,6922079.000000,7079162.000000,7237025.000000,7396190.000000
"El Salvador","SLV",6221246.000000,6250777.000000,6281189.000000,6312478.000000,6344722.000000
"San Marino","SMR",31914.000000,32303.000000,32657.000000,32960.000000,33203.000000
"Somalia","SOM",12763776.000000,13132349.000000,13513125.000000,13908129.000000,14317996.000000
"Serbia","SRB",7199077.000000,7164132.000000,7130576.000000,7095383.000000,7057412.000000
"Sub-Saharan Africa (excluding high income)","SSA",926459874.077234,952188682.610082,978533722.739162,1005477381.682029,1033011458.000000
"South Sudan","SSD",10818258.000000,11177490.000000,11530971.000000,11882136.000000,12230730.000000
"Sub-Saharan Africa","SSF",926548177.077234,952278631.610082,978625081.739162,1005570800.682029,1033106135.000000
"Small states","SST",36873246.000000,37565022.000000,38251715.000000,38937987.000000,39618156.000000
"Sao Tome and Principe","STP",182889.000000,187045.000000,191266.000000,195553.000000,199910.000000
"Suriname","SUR",537077.000000,542540.000000,547928.000000,553208.000000,558368.000000
"Slovak Republic","SVK",5407579.000000,5413393.000000,5418649.000000,5423801.000000,5428704.000000
"Slovenia","SVN",2057159.000000,2059953.000000,2061980.000000,2063531.000000,2064845.000000
"Sweden","SWE",9519374.000000,9600379.000000,9696110.000000,9799186.000000,9903122.000000
"Swaziland","SWZ",1248158.000000,1271456.000000,1295097.000000,1319011.000000,1343098.000000
"Sint Maarten (Dutch part)","SXM",34640.000000,36607.000000,37685.000000,38824.000000,40005.000000
"Seychelles","SYC",88303.000000,89949.000000,91359.000000,93419.000000,94677.000000
"Syrian Arab Republic","SYR",20420701.000000,19809141.000000,19203090.000000,18734987.000000,18430453.000000
"Turks and Caicos Islands","TCA",32431.000000,33108.000000,33739.000000,34339.000000,34900.000000
"Chad","TCD",12705135.000000,13133589.000000,13569438.000000,14009413.000000,14452543.000000
"East Asia & Pacific (IDA & IBRD countries)","TEA",1968120178.000000,1982414412.000000,1996870376.000000,2011274432.000000,2026028438.000000
"Europe & Central Asia (IDA & IBRD countries)","TEC",445769749.000000,448166840.000000,450522686.000000,452962149.000000,455372659.000000
"Togo","TGO",6859482.000000,7042948.000000,7228915.000000,7416802.000000,7606374.000000
"Thailand","THA",67843979.000000,68143065.000000,68416772.000000,68657600.000000,68863514.000000
"Tajikistan","TJK",7995062.000000,8177809.000000,8362745.000000,8548651.000000,8734951.000000
"Turkmenistan","TKM",5267839.000000,5366277.000000,5466241.000000,5565284.000000,5662544.000000
"Latin America & the Caribbean (IDA & IBRD countries)","TLA",594330743.000000,601277206.000000,608136047.000000,614891969.000000,621534921.000000
"Timor-Leste","TLS",1156760.000000,1184366.000000,1212814.000000,1240977.000000,1268671.000000
"Middle East & North Africa (IDA & IBRD countries)","TMN",344148796.000000,350471538.000000,356783315.000000,363027163.000000,369167489.000000
"Tonga","TON",104951.000000,105328.000000,105782.000000,106364.000000,107122.000000
"South Asia (IDA & IBRD)","TSA",1676614288.000000,1699306053.000000,1721840539.000000,1744190704.000000,1766383450.000000
"Sub-Saharan Africa (IDA & IBRD countries)","TSS",926548177.077234,952278631.610082,978625081.739162,1005570800.682029,1033106135.000000
"Trinidad and Tobago","TTO",1341588.000000,1348248.000000,1354493.000000,1360092.000000,1364962.000000
"Tunisia","TUN",10886668.000000,11014558.000000,11143908.000000,11273661.000000,11403248.000000
"Turkey","TUR",74569867.000000,75787333.000000,77030628.000000,78271472.000000,79512426.000000
"Tuvalu","TUV",10725.000000,10819.000000,10908.000000,11001.000000,11097.000000
"Tanzania","TZA",49082997.000000,50636595.000000,52234869.000000,53879957.000000,55572201.000000
"Uganda","UGA",36306796.000000,37553726.000000,38833338.000000,40144870.000000,41487965.000000
"Ukraine","UKR",45593300.000000,45489600.000000,45271947.000000,45154029.000000,45004645.000000
"Upper middle income","UMC",2501989805.077233,2521454986.610083,2541065424.739162,2560411825.682029,2579909675.000000
"Uruguay","URY",3396777.000000,3408005.000000,3419546.000000,3431552.000000,3444006.000000
"United States","USA",313998379.000000,316204908.000000,318563456.000000,320896618.000000,323127513.000000
"Uzbekistan","UZB",29774500.000000,30243200.000000,30757700.000000,31298900.000000,31848200.000000
"St. Vincent and the Grenadines","VCT",109328.000000,109320.000000,109357.000000,109455.000000,109643.000000
"Venezuela, RB","VEN",29893080.000000,30317848.000000,30738378.000000,31155134.000000,31568179.000000
"British Virgin Islands","VGB",28509.000000,29056.000000,29588.000000,30113.000000,30661.000000
"Virgin Islands (U.S.)","VIR",105275.000000,104737.000000,104170.000000,103574.000000,102951.000000
"Vietnam","VNM",88809200.000000,89759500.000000,90728900.000000,91713300.000000,92701100.000000
"Vanuatu","VUT",247485.000000,253142.000000,258850.000000,264603.000000,270402.000000
"World","WLD",7097400665.077233,7182860114.610083,7268986175.739162,7355220411.682030,7442135578.000000
"Samoa","WSM",189194.000000,190757.000000,192290.000000,193759.000000,195125.000000
"Kosovo","XKX",1805200.000000,1824100.000000,1821800.000000,1801800.000000,1816200.000000
"Yemen, Rep.","YEM",24909969.000000,25576322.000000,26246327.000000,26916207.000000,27584213.000000
"South Africa","ZAF",52506515.077234,53311955.610082,54146734.739162,55011976.682029,55908865.000000
"Zambia","ZMB",14699937.000000,15153210.000000,15620974.000000,16100587.000000,16591390.000000
"Zimbabwe","ZWE",14710826.000000,15054506.000000,15411675.000000,15777451.000000,16150362.000000
